GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fortifications,ua.lviv.iot.fortifications.models,Blindage,12,57,0,0,6,10,3,6,3,6
Fortifications,ua.lviv.iot.fortifications.models,Blindage.MyClass,6,0,0,0,1,0,1,0,1,0
Fortifications,ua.lviv.iot.fortifications.models,CoveringType,0,34,0,0,0,2,0,1,0,1
Fortifications,ua.lviv.iot.fortifications.models,MaterialType,0,34,0,0,0,2,0,1,0,1
Fortifications,ua.lviv.iot.fortifications.models,Aperal,0,42,0,0,0,10,0,6,0,6
Fortifications,ua.lviv.iot.fortifications.models,Fortifications,12,44,0,0,6,12,3,7,3,7
Fortifications,ua.lviv.iot.fortifications.models,Trench,7,35,0,0,4,6,2,4,2,4
Fortifications,ua.lviv.iot.fortifications.models,Escarpment,4,35,0,0,2,6,1,4,1,4
Fortifications,ua.lviv.iot.fortifications.models,AntitankNadovb,0,42,0,0,0,10,0,6,0,6
Fortifications,ua.lviv.iot.fortifications.manager,Writer,3,46,0,0,2,14,0,3,0,3
Fortifications,ua.lviv.iot.fortifications.manager,FortificationsManagerImpl,4,78,0,6,2,22,1,11,1,8
